No. of Faculty members with Ph.D qualification,Total no. of Faculty members,No. of Women Faculty members ,,,,,,,,
148,245,43,,,,,,,,
Academic Year,Program Level,Approve Intake of all years of duration,No. of Male students studying in all years of all programs,No. of Female students studying in all year of all programs,Total no.of students studying in all years of all programs,No. of students from Within State,No. of students from Outside State,No. of students from Outside Country,No. of students from Economically Backward Class,"No. of students from Socially Challenged Category (SC, ST & OBC) "
2016-17,UG [4 Years],2500,2130,260,2390,1199,1148,43,273,1266
2016-17,PG [2 Years],500,338,58,396,108,288,0,0,175
Academic Year,Program,No. of students receiving Freeships / Scholarships from the State and Central Government,No. of students receiving Freeships / Scholarships from Institution Funds,No. of students receiving Freeships / Scholarships from the Private Bodies,No. of students who are not receiving any Freeships / Scholarships ,,,,,
2016-17,UG [4 Years],125,415,8,991,,,,,
2016-17,PG [2 Years],244,0,0,0,,,,,
Academic Year,Program,No. of students placed through placement,No. of students selected for Higher Studies,Median salary of placed graduates (in Rs.) ,,,,,,
2016-17,UG [4 Years],423,41,505000,,,,,,
2016-17,PG [2 Years],9,31,336000,,,,,,
Ph.D (Student pursuing doctoral program till 2016-17).,Total Students ,,,,,,,,,
Full Time,205,,,,,,,,,
Part Time,93,,,,,,,,,
,2016-17,2015-16,2014-15 ,,,,,,,
Full Time,26,15,6,,,,,,,
Part Time,5,10,8,,,,,,,
Academic Year,Program,No. of students admitted in the first year,No. of students admitted through lateral entry,No. of students graduating in minimum stipulated time ,,,,,,
2016-17,UG [4 Years],596,0,464,,,,,,
2016-17,PG [2 Years],219,0,189,,,,,,
Financial Year,Annual Capital Expenditure (in Rs.),Annual Operational Expenditure (in Rs.),Total Annual Expenditure (in Rs.) ,,,,,,,
2014-15,153375527,448369291,601744818,,,,,,,
2015-16,182430805,498024386,680455191,,,,,,,
2016-17,113304896,503422691,616727587,,,,,,,
Source of Data,Publications,Citations,Top 25 % Highly Cited Papers ,,,,,,,
Web of Science,514,1263,164,,,,,,,
Scopus,641,2338,191,,,,,,,
Financial Year,Amount (in Rs.) ,,,,,,,,,
2014-15,6753160,,,,,,,,,
2015-16,36657691,,,,,,,,,
2016-17,14156017,,,,,,,,,
Financial Year,Amount (in Rs.) ,,,,,,,,,
2014-15,3911982,,,,,,,,,
2015-16,5639885,,,,,,,,,
2016-17,2720365,,,,,,,,,
Do your institution have Lifts/Ramps ?,"Do your institution have provision for walking aids, including wheelchairs and transportation from one building to another for handicapped students?",Do your institution have specially designed toilets for handicapped students? ,,,,,,,,
"Yes, in some of the buildings","Yes, in some of the buildings","Yes, in some of the buildings ",,,,,,,,
Perception ,,,,,,,,,,
18,,,,,,,,,,
