No. of Faculty members with Ph.D qualification,Total no. of Faculty members,No. of Women Faculty members ,,,,,,,,
165,179,22,,,,,,,,
Academic Year,Program Level,Approve Intake of all years of duration,No. of Male students studying in all years of all programs,No. of Female students studying in all year of all programs,Total no.of students studying in all years of all programs,No. of students from Within State,No. of students from Outside State,No. of students from Outside Country,No. of students from Economically Backward Class,"No. of students from Socially Challenged Category (SC, ST & OBC) "
2016-17,UG [4 Years],3343,2522,640,3162,1410,1630,122,1009,1618
2016-17,PG [2 Years],1083,668,274,942,340,601,1,231,579
2016-17,PG [3 Years],349,159,57,216,61,155,0,71,103
Academic Year,Program,No. of students receiving Freeships / Scholarships from the State and Central Government,No. of students receiving Freeships / Scholarships from Institution Funds,No. of students receiving Freeships / Scholarships from the Private Bodies,No. of students who are not receiving any Freeships / Scholarships ,,,,,
2016-17,UG [4 Years],800,1548,121,158,,,,,
2016-17,PG [2 Years],184,419,0,207,,,,,
2016-17,PG [3 Years],47,0,0,127,,,,,
Academic Year,Program,No. of students placed through placement,No. of students selected for Higher Studies,Median salary of placed graduates (in Rs.) ,,,,,,
2016-17,UG [4 Years],460,148,480000,,,,,,
2016-17,PG [2 Years],84,95,450000,,,,,,
2016-17,PG [3 Years],33,0,500000,,,,,,
Ph.D (Student pursuing doctoral program till 2016-17).,Total Students ,,,,,,,,,
Full Time,293,,,,,,,,,
Part Time,361,,,,,,,,,
,2016-17,2015-16,2014-15 ,,,,,,,
Full Time,14,10,9,,,,,,,
Part Time,43,39,42,,,,,,,
Academic Year,Program,No. of students admitted in the first year,No. of students admitted through lateral entry,No. of students graduating in minimum stipulated time ,,,,,,
2016-17,UG [4 Years],846,0,828,,,,,,
2016-17,PG [2 Years],506,0,416,,,,,,
2016-17,PG [3 Years],75,0,63,,,,,,
Financial Year,Annual Capital Expenditure (in Rs.),Annual Operational Expenditure (in Rs.),Total Annual Expenditure (in Rs.) ,,,,,,,
2014-15,66199637,757824207,824023844,,,,,,,
2015-16,99255620,797480528,896736148,,,,,,,
2016-17,157406568,924807316,1082213884,,,,,,,
Source of Data,Publications,Citations,Top 25 % Highly Cited Papers ,,,,,,,
Web of Science,1053,2591,312,,,,,,,
Scopus,1118,3691,284,,,,,,,
Financial Year,Amount (in Rs.) ,,,,,,,,,
2014-15,27619484,,,,,,,,,
2015-16,22739074,,,,,,,,,
2016-17,33426408,,,,,,,,,
Financial Year,Amount (in Rs.) ,,,,,,,,,
2014-15,1714370,,,,,,,,,
2015-16,7226294,,,,,,,,,
2016-17,5201743,,,,,,,,,
Do your institution have Lifts/Ramps ?,"Do your institution have provision for walking aids, including wheelchairs and transportation from one building to another for handicapped students?",Do your institution have specially designed toilets for handicapped students? ,,,,,,,,
"Yes, in some of the buildings","Yes, in some of the buildings","Yes, in some of the buildings ",,,,,,,,
Perception ,,,,,,,,,,
27,,,,,,,,,,
